Name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Dry Tortugas,48543,79200,56810,54281,"73,661","70,862","64,865","58,401","60,550","75,171","53,890","52,011","63,947","60,895","64,122","61,765","67,917","74,741","79,582","79,186","83,704","74,186","60,136","47,224","35,127","32,870","16,736","24,020","21,581","18,231","19,402","19,441","16,937","16,315","15,379","13,213","11,900","11,004","10,700","10,150","8,644","9,076"
Everglades,702319,1118300,597124,1018557,"930,907","1,077,427","1,110,901","1,047,116","1,141,906","934,351","915,538","900,882","822,118","1,074,764","954,022","1,233,837","1,181,355","1,040,648","968,909","1,049,851","995,390","1,073,982","1,118,215","989,532","890,167","820,466","886,455","973,706","1,025,686","1,292,014","957,925","913,372","1,026,188","787,493","739,072","697,646","628,658","577,439","550,168","564,721","744,244","718,102"
Gates of the Arctic,2872,10518,9591,11177,"10,047","10,745","12,669","11,012","10,899","11,623","10,840","9,975","11,397","10,942","9,982","9,459","10,282","5,075","6,648","4,505","11,278","8,166","8,266","6,949","6,448","7,074","1,726","2,245","2,116","1,154","1,010",822,"1,258","1,060","2,801","1,381","2,440","2,138","1,381",,,
Glacier,1698864,3049839,2965309,3305512,"2,946,681","2,366,056","2,338,528","2,190,374","2,162,035","1,853,564","2,200,048","2,031,348","1,808,027","2,083,329","1,964,399","1,925,101","2,033,933","1,664,046","1,905,689","1,680,614","1,728,693","1,684,604","1,830,944","1,708,856","1,720,805","1,839,518","2,152,989","2,141,704","2,199,767","2,096,966","1,986,737","1,821,523","1,817,733","1,660,737","1,579,151","1,603,011","1,946,703","2,203,847","1,666,114","1,786,523","1,474,578","1,446,086"
Glacier Bay,5748,672087,597915,547057,"520,171","551,353","500,727","500,590","454,337","431,986","444,530","438,361","418,911","438,211","413,382","359,829","353,686","366,319","408,143","380,114","384,684","442,607","403,512","347,046","304,374","252,265","250,614","242,276","211,424","203,653","186,427","150,270","148,756","130,926","136,877","130,943","108,297","92,057","90,354","85,071","95,005","91,032"
Great Basin,120248,131802,153094,168028,"144,846","116,123","107,526","92,893","94,850","91,451","88,870","84,974","69,235","81,364","78,524","77,741","79,879","87,020","85,777","81,712","81,045","90,119","80,363","90,760","86,635","87,829","88,024","91,915","69,144","63,864","65,026","70,259","73,559","63,532","40,359","36,343","37,676","30,335","32,264","33,367","33,383","29,947"
Grand Canyon,2897098,5974411,6380495,6254238,"5,969,811","5,520,736","4,756,771","4,564,840","4,421,352","4,298,178","4,388,386","4,348,068","4,425,314","4,413,668","4,279,439","4,401,522","4,326,234","4,124,900","4,001,974","4,104,809","4,460,228","4,575,124","4,239,682","4,791,668","4,537,703","4,557,645","4,364,316","4,575,602","4,203,545","3,886,031","3,776,685","3,966,209","3,859,886","3,513,030","3,035,787","2,711,529","2,173,584","2,248,082","2,293,127","2,472,270","2,304,973","2,131,716"
Great Sand Dunes,461532,527546,442905,486935,"388,308","299,513","271,774","242,841","254,674","280,058","283,284","289,955","273,903","285,121","258,660","279,589","267,204","251,375","234,776","277,523","260,789","286,745","279,768","309,855","309,283","323,663","312,225","294,282","290,654","295,070","272,136","266,321","274,286","225,937","221,449","182,713","141,833","150,177","175,273","172,505","142,427","162,546"
Great Smoky Mountains,12095720,12547743,11421200,11338893,"11,312,786","10,712,674","10,099,276","9,354,695","9,685,829","9,008,830","9,463,538","9,491,437","9,044,010","9,372,253","9,289,215","9,192,477","9,167,046","9,366,845","9,316,420","9,197,697","10,175,812","10,283,598","9,989,395","9,965,075","9,265,667","9,080,420","8,628,174","9,283,848","8,931,690","8,654,459","8,151,769","8,333,553","8,770,781","10,209,841","9,836,306","9,319,290","8,508,390","8,435,475","8,177,869","8,312,884","8,440,953","8,019,788"
Grand Teton,3289638,3405614,3491151,3317000,"3,270,076","3,149,921","2,791,392","2,688,794","2,705,256","2,587,437","2,669,374","2,580,081","2,485,987","2,588,574","2,406,476","2,463,442","2,360,373","2,355,693","2,612,629","2,535,108","2,590,624","2,680,025","2,757,060","2,658,762","2,733,439","2,731,015","2,540,699","2,568,689","1,744,636","1,625,752","1,588,253","1,331,659","1,232,691","1,450,791","1,306,322","1,334,483","1,360,898","1,532,035","2,534,029","2,643,644","2,555,627","2,446,171"
Guadalupe Mountains,151256,188833,172347,225257,"181,839","169,535","166,868","145,670","159,360","152,546","192,210","198,882","163,709","165,110","174,157","170,383","182,351","181,357","202,911","222,307","198,762","219,591","227,924","231,980","223,485","208,972","203,520","201,054","175,120","200,398","192,890","168,872","178,910","156,344","163,313","147,758","151,862","142,736","140,620","142,641","113,825","110,478"
Haleakala,319147,994394,1044084,1112390,"1,263,558","1,216,772","1,142,040","785,300","1,094,668","956,989","1,105,606","1,109,104","1,185,068","1,322,817","1,426,068","1,474,681","1,455,477","1,444,668","1,521,080","1,410,974","1,620,083","1,963,187","1,476,842","1,673,561","1,553,344","1,594,596","1,527,329","1,317,433","1,183,124","1,228,332","1,260,601","1,367,761","1,314,683","1,333,900","1,281,219","1,194,651","1,003,821","864,289","771,762","631,684","560,238","673,955"
Hawaii Volcanoes,589775,1368376,1116891,2016702,"1,887,580","1,832,660","1,693,005","1,583,209","1,483,928","1,352,123","1,304,667","1,233,105","1,270,538","1,467,779","1,612,246","1,661,196","1,307,391","1,122,524","1,110,998","1,343,286","1,514,636","1,502,855","1,352,373","1,832,087","1,231,557","1,175,028","1,174,289","1,143,741","1,151,661","1,238,653","1,096,816","1,056,188","983,007","1,006,058","898,023","816,652","2,008,608","2,247,974","1,995,397","1,931,852","1,692,338","1,632,589"
Hot Springs,1348215,1467153,1506887,1561616,"1,544,300","1,418,162","1,424,484","1,325,719","1,302,505","1,396,354","1,311,807","1,284,707","1,238,147","1,300,152","1,273,456","1,340,160","1,418,735","1,561,311","1,440,227","1,296,786","1,338,156","1,384,469","1,495,993","1,509,596","1,538,105","1,617,077","1,618,847","1,477,299","1,504,013","1,203,929","1,123,175","1,272,771","1,185,772","1,101,242","1,175,170","1,112,764","1,071,853","1,160,008","1,015,580","1,177,911","1,160,588","1,118,800"
Indiana Dunes,"2,295,126","2,136,304","1,758,097","2,160,488","1,700,239","1,642,210","1,555,386","1,683,708","1,891,393","1,842,524","2,152,355","1,946,577","1,835,604","1,974,351",1940138,2129341,1812334,1955452,1991943,1737405,1822228,1750046,2110787,1485779,1528162,1698483,1701952,1765087,1975090,2060792,1921891,1793891,1887364,1578225,1678569,1802311,1562412,1512613,1068555,1025417,1224854,1608145
Isle Royale,"8,513","28,429","27,816","30,213","26,982","20,699","16,574","18,287","18,675","17,903","17,803","16,662","16,046","17,980",19076,19403,19280,19803,21465,21432,23096,25492,25930,23378,25441,25465,26837,23976,24720,23995,25485,29122,28581,33747,28108,18760,13798,14911,15220,16539,16957,16761
Gateway Arch,"488,041","2,057,328","2,018,198","1,400,205","1,273,871","1,700,671","1,819,105","2,379,271","2,498,738","2,261,031","2,438,120","2,362,118","1,956,818","2,387,394",2574078,2946981,2781354,2687222,3335456,3534525,3460956,3483041,3422350,3422073,3651304,3236972,2555690,2541733,2417506,2624416,2384602,2520701,2479446,2366681,2313133,2142301,1711977,2950005,2969305,2284242,1930805,1861410
Joshua Tree,"2,401,562","2,990,566","2,944,400","2,855,636","2,507,302","2,027,771","1,591,918","1,385,353","1,398,129","1,398,248","1,436,986","1,306,480","1,394,454","1,300,986",1258427,1377116,1245663,1285349,1180378,1282918,1235935,1318339,1412310,1228270,1097042,1237697,1186865,1254394,1222531,1147449,1024386,992203,957234,832072,785210,643157,665782,673409,675183,614947,547337,592522
Katmai,"53,531","86,186","39,836","39,835","39,834","39,833","32,910","30,979","41,830","50,950","57,182","45,044","9,978","84,641",70636,56279,58791,53592,61027,69039,73389,53398,47468,20799,1995,57722,55414,48188,43408,42768,42236,47698,40199,43649,27127,22058,13165,16359,15096,13804,12638,
Kenai Fjords,"117,902","358,620","323,614","305,615","348,550","298,712","272,680","285,515","283,291","348,863","299,606","220,367","274,198","286,611",253636,260302,246236,245722,253801,264354,256790,292672,265946,308161,276030,232652,211510,191705,110122,109032,68105,77546,61005,62415,56282,37743,32687,26031,18100,,,
Kings Canyon,"417,097","634,129","701,041","694,949","609,495","470,121","504,282","569,557","593,045","568,821","600,215","611,305","576,878","582,136",554772,596898,527039,557990,547422,543788,530987,561533,542210,486715,504745,834789,727924,638508,639438,1073013,1064857,1039338,1009683,1083159,1030771,876441,939246,767738,833026,778831,821045,806154
Kobuk Valley,"13,205","17,785","16,955","17,517","17,516","2,015","2,014","18,888","31,562","13,496","5,174","3,888","3,573","2,854",5011,7042,6748,6009,6048,6218,4646,8308,7548,4778,4777,4776,4775,4809,4821,4786,4576,3959,4263,2217,3071,3290,3059,4348,5757,,,
Lake Clark ,"6,968","19,176","16,497","24,772","23,118","19,833","18,114","15,013","13,651","7,169","11,941","11,720","8,810","7,556",7326,7413,6910,6508,6327,6398,8493,8189,13333,11170,14723,14693,14137,14146,11225,6124,12186,16868,20851,18405,15597,14686,14489,14315,12422,,,
Lassen Volcanic,"544,294","519,058","501,453","509,273","538,084","470,107","434,991","429,422","409,665","353,280","386,580","367,648","379,369","397,064",390747,367540,381671,406387,390151,378696,376911,355755,320047,393813,353628,352996,387483,436257,470003,465170,462907,468104,497616,474418,441709,453482,465259,431850,416841,417026,396405,381993
